split_point,head_time,tail_time,total_time,head_energy,tail_energy,head_power,tail_power,data_size,success,errors,avg_head_time,avg_tail_time,avg_total_time,avg_head_energy,avg_tail_energy,avg_head_power,avg_tail_power,avg_data_size
25,"[0.4369056224822998, 0.3753793239593506, 0.4384291172027588, 0.4528789520263672, 0.4576747417449951]","[0.04295039176940918, 0.04259681701660156, 0.04516434669494629, 0.04293632507324219, 0.05133318901062012]","[0.479856014251709, 0.41797614097595215, 0.4835934638977051, 0.4958152770996094, 0.5090079307556152]","[6.7995, 6.1641, 6.7347, 7.0861, 6.9948]","[3.9364, 3.8556, 3.8246, 3.9032, 4.1602]","[17.23, 18.56, 16.96, 17.22, 17.12]","[128.87, 128.51, 128.55, 128.62, 128.62]","[803996, 803996, 803996, 803996, 803996]",5,[],0.4322535514831543,0.044996213912963864,0.4772497653961182,6.75584,3.936,17.418,128.63400000000001,803996
26,"[0.43747401237487793, 0.4450657367706299, 0.4448051452636719, 0.4621419906616211, 0.4496133327484131]","[0.041611433029174805, 0.052016258239746094, 0.054537296295166016, 0.042914628982543945, 0.04317927360534668]","[0.47908544540405273, 0.497081995010376, 0.4993424415588379, 0.505056619644165, 0.49279260635375977]","[7.2217, 6.0849, 6.337, 7.2118, 7.0964]","[3.8601, 3.9615, 3.9434, 4.0409, 3.81]","[18.2, 17.85, 18.52, 17.23, 17.35]","[128.65, 128.51, 128.58, 128.82, 129.0]","[803996, 803996, 803996, 803996, 803996]",5,[],0.44782004356384275,0.04685177803039551,0.4946718215942383,6.79036,3.92318,17.830000000000002,128.712,803996
27,"[0.46329712867736816, 0.45824193954467773, 0.4571685791015625, 0.4472229480743408, 0.45134687423706055]","[0.0460658073425293, 0.04405951499938965, 0.05815577507019043, 0.04385113716125488, 0.05427265167236328]","[0.5093629360198975, 0.5023014545440674, 0.5153243541717529, 0.4910740852355957, 0.5056195259094238]","[7.1545, 7.1612, 7.1627, 7.0379, 7.0438]","[4.092, 3.9481, 4.8107, 3.8191, 4.2185]","[16.99, 17.2, 17.54, 17.44, 17.49]","[129.11, 129.0, 128.87, 128.83, 128.79]","[803996, 803996, 803996, 803996, 803996]",5,[],0.45545549392700196,0.049280977249145506,0.5047364711761475,7.11202,4.17768,17.332,128.92000000000002,803996
28,"[0.45317983627319336, 0.4490790367126465, 0.4474673271179199, 0.45435500144958496, 0.47528719902038574]","[0.04468250274658203, 0.04275965690612793, 0.042392730712890625, 0.04196643829345703, 0.040978431701660156]","[0.4978623390197754, 0.4918386936187744, 0.48986005783081055, 0.496321439743042, 0.5162656307220459]","[7.2967, 7.0877, 7.3603, 7.4036, 7.4391]","[3.9133, 3.8692, 3.9507, 3.7962, 3.7914]","[17.7, 17.37, 18.09, 17.89, 17.63]","[129.07, 129.02, 128.94, 128.88, 129.06]","[803996, 803996, 803996, 803996, 803996]",5,[],0.4558736801147461,0.042555952072143556,0.4984296321868896,7.31748,3.86416,17.736,128.994,803996
29,"[0.5359203815460205, 0.4662506580352783, 0.45686864852905273, 0.4497718811035156, 0.4623432159423828]","[0.04718422889709473, 0.04161190986633301, 0.04503917694091797, 0.04547572135925293, 0.051786184310913086]","[0.5831046104431152, 0.5078625679016113, 0.5019078254699707, 0.49524760246276855, 0.5141294002532959]","[8.1501, 7.4691, 7.2893, 7.3741, 7.3207]","[3.7364, 3.7119, 4.0969, 3.7378, 3.8259]","[16.56, 17.62, 17.58, 18.09, 17.45]","[128.97, 129.04, 128.88, 129.02, 129.14]","[803996, 803996, 803996, 803996, 803996]",5,[],0.47423095703125,0.04621944427490234,0.5204504013061524,7.52066,3.82178,17.46,129.01,803996
30,"[0.4489254951477051, 0.4555683135986328, 0.5310745239257812, 0.48111462593078613, 0.5304553508758545]","[0.04185771942138672, 0.04412651062011719, 0.04330849647521973, 0.049353837966918945, 0.05241274833679199]","[0.4907832145690918, 0.49969482421875, 0.574383020401001, 0.5304684638977051, 0.5828680992126465]","[7.3921, 7.5005, 8.5741, 7.519, 8.3543]","[3.6972, 3.7064, 3.8078, 3.682, 3.8151]","[18.17, 18.23, 17.49, 17.31, 17.22]","[129.34, 129.27, 129.29, 129.14, 129.25]","[803996, 803996, 803996, 803996, 803996]",5,[],0.48942766189575193,0.046211862564086915,0.5356395244598389,7.868,3.7417,17.684,129.258,803996
31,"[0.5279769897460938, 0.5518033504486084, 0.550147294998169, 0.48071837425231934, 0.5233182907104492]","[0.04532790184020996, 0.04973721504211426, 0.04720306396484375, 0.05101323127746582, 0.04396700859069824]","[0.5733048915863037, 0.6015405654907227, 0.5973503589630127, 0.5317316055297852, 0.5672852993011475]","[8.2554, 8.6708, 8.5749, 7.6607, 8.4821]","[3.6596, 3.6923, 3.6816, 3.7875, 3.7371]","[17.06, 17.19, 17.01, 17.62, 17.69]","[129.37, 129.25, 129.31, 129.2, 129.33]","[803996, 803996, 803996, 803996, 803996]",5,[],0.5267928600311279,0.047449684143066405,0.5742425441741943,8.32878,3.71162,17.314,129.292,803996
32,"[0.5537641048431396, 0.5539424419403076, 0.5393178462982178, 0.4873692989349365, 0.547783374786377]","[0.042746543884277344, 0.042571306228637695, 0.040317535400390625, 0.04485583305358887, 0.04125499725341797]","[0.596510648727417, 0.5965137481689453, 0.5796353816986084, 0.5322251319885254, 0.5890383720397949]","[8.8929, 8.8053, 7.7068, 8.0212, 8.508]","[3.688, 3.6755, 3.6815, 3.711, 3.7306]","[17.37, 17.23, 17.57, 17.95, 16.75]","[129.2, 129.54, 129.56, 129.54, 129.79]","[803996, 803996, 803996, 803996, 803996]",5,[],0.5364354133605957,0.0423492431640625,0.5787846565246582,8.38684,3.69732,17.374,129.52599999999998,803996
33,"[0.5564231872558594, 0.546370267868042, 0.561154842376709, 0.5553092956542969, 0.5520768165588379]","[0.05014801025390625, 0.041378021240234375, 0.0535283088684082, 0.04925203323364258, 0.049897193908691406]","[0.6065711975097656, 0.5877482891082764, 0.6146831512451172, 0.6045613288879395, 0.6019740104675293]","[8.7121, 8.8661, 8.9867, 8.7673, 8.91]","[3.6445, 3.6067, 3.9031, 3.6579, 3.6717]","[17.03, 17.54, 17.47, 17.29, 17.58]","[129.71, 129.61, 129.53, 129.5, 129.61]","[803996, 803996, 803996, 803996, 803996]",5,[],0.554266881942749,0.04884071350097656,0.6031075954437256,8.84844,3.69678,17.381999999999998,129.592,803996
34,"[0.5472829341888428, 0.5526294708251953, 0.5657479763031006, 0.5583782196044922, 0.5444896221160889]","[0.04200434684753418, 0.04110145568847656, 0.041078805923461914, 0.04605674743652344, 0.038864850997924805]","[0.589287281036377, 0.5937309265136719, 0.6068267822265625, 0.6044349670410156, 0.5833544731140137]","[8.9719, 8.8851, 8.9288, 9.146, 8.6137]","[3.5695, 3.5955, 3.6559, 3.6699, 3.5638]","[17.71, 17.36, 17.15, 17.74, 17.03]","[129.53, 129.55, 129.69, 129.65, 129.71]","[803996, 803996, 803996, 803996, 803996]",5,[],0.5537056446075439,0.04182124137878418,0.5955268859863281,8.9091,3.61092,17.398,129.626,803996
35,"[0.574174165725708, 0.5426468849182129, 0.5521397590637207, 0.5601449012756348, 0.5456559658050537]","[0.05143284797668457, 0.04101967811584473, 0.049111127853393555, 0.05119037628173828, 0.04320645332336426]","[0.6256070137023926, 0.5836665630340576, 0.6012508869171143, 0.611335277557373, 0.588862419128418]","[9.1031, 8.7766, 9.0501, 9.1271, 8.8877]","[3.7472, 3.5685, 3.6471, 3.6124, 3.5769]","[17.22, 17.53, 17.72, 17.77, 17.69]","[129.62, 129.75, 129.64, 129.55, 129.58]","[803996, 803996, 803996, 803996, 803996]",5,[],0.554952335357666,0.04719209671020508,0.602144432067871,8.98892,3.63042,17.586,129.62800000000001,803996
36,"[0.5373139381408691, 0.6091163158416748, 0.5808134078979492, 0.621403694152832, 0.5004184246063232]","[0.04828500747680664, 0.048363685607910156, 0.04886746406555176, 0.040247201919555664, 0.048130035400390625]","[0.5855989456176758, 0.657480001449585, 0.629680871963501, 0.6616508960723877, 0.5485484600067139]","[8.7436, 8.8399, 9.2586, 9.3502, 8.1681]","[3.4836, 3.5201, 3.5138, 3.6092, 3.5076]","[17.97, 17.28, 17.29, 17.74, 17.81]","[129.61, 129.64, 129.57, 129.66, 129.66]","[803996, 803996, 803996, 803996, 803996]",5,[],0.5698131561279297,0.04677867889404297,0.6165918350219727,8.87208,3.52686,17.618,129.628,803996
37,"[0.627948522567749, 0.5729117393493652, 0.6410791873931885, 0.6300914287567139, 0.5810365676879883]","[0.04264187812805176, 0.04196929931640625, 0.052120208740234375, 0.03958940505981445, 0.04242229461669922]","[0.6705904006958008, 0.6148810386657715, 0.6931993961334229, 0.6696808338165283, 0.6234588623046875]","[10.0554, 9.0674, 10.1693, 9.3299, 9.7348]","[3.5655, 3.4937, 3.7688, 3.5632, 3.6841]","[17.18, 17.14, 17.03, 17.63, 18.07]","[129.85, 129.75, 129.69, 129.78, 129.74]","[803996, 803996, 803996, 803996, 803996]",5,[],0.610613489151001,0.04374861717224121,0.6543621063232422,9.67136,3.61506,17.41,129.762,803996
38,"[0.6469824314117432, 0.6464414596557617, 0.5824909210205078, 0.6359376907348633, 0.6574504375457764]","[0.04975104331970215, 0.040270090103149414, 0.04213762283325195, 0.04541802406311035, 0.0482172966003418]","[0.6967334747314453, 0.6867115497589111, 0.6246285438537598, 0.6813557147979736, 0.7056677341461182]","[10.3759, 10.4505, 9.3155, 10.0713, 10.3412]","[3.525, 3.7225, 3.5188, 3.4823, 3.453]","[17.25, 17.28, 17.3, 16.96, 16.86]","[129.72, 129.74, 129.75, 129.77, 129.83]","[803996, 803996, 803996, 803996, 803996]",5,[],0.6338605880737305,0.04515881538391113,0.6790194034576416,10.11088,3.54032,17.13,129.762,803996
39,"[0.659548282623291, 0.6517765522003174, 0.6643762588500977, 0.6357545852661133, 0.6581640243530273]","[0.04897499084472656, 0.04219484329223633, 0.049414634704589844, 0.0417485237121582, 0.048924922943115234]","[0.7085232734680176, 0.6939713954925537, 0.7137908935546875, 0.6775031089782715, 0.7070889472961426]","[10.6427, 10.6926, 10.6545, 10.2041, 10.7154]","[3.4324, 3.8562, 3.5865, 3.5928, 3.409]","[17.3, 17.59, 17.21, 17.18, 17.46]","[129.74, 129.76, 129.71, 129.72, 129.63]","[803996, 803996, 803996, 803996, 803996]",5,[],0.6539239406585693,0.04625158309936524,0.7001755237579346,10.58186,3.57538,17.348,129.712,803996
40,"[0.6590499877929688, 0.6538922786712646, 0.659520149230957, 0.649005651473999, 0.643151044845581]","[0.04166126251220703, 0.04734611511230469, 0.04575800895690918, 0.04921674728393555, 0.041716575622558594]","[0.7007112503051758, 0.7012383937835693, 0.7052781581878662, 0.6982223987579346, 0.6848676204681396]","[10.751, 10.4765, 10.6149, 10.6238, 10.334]","[3.3456, 3.3944, 3.4278, 3.4419, 3.6983]","[17.48, 17.22, 17.26, 17.66, 17.24]","[129.72, 129.68, 129.68, 129.93, 129.84]","[803996, 803996, 803996, 803996, 803996]",5,[],0.6529238224029541,0.045139741897583005,0.6980635643005371,10.560039999999999,3.4616000000000002,17.372,129.77,803996
41,"[0.647209882736206, 0.666090726852417, 0.7171905040740967, 0.6053683757781982, 0.6422548294067383]","[0.04505300521850586, 0.042322635650634766, 0.04045748710632324, 0.0467066764831543, 0.04455733299255371]","[0.6922628879547119, 0.7084133625030518, 0.7576479911804199, 0.6520750522613525, 0.686812162399292]","[10.6643, 10.6939, 10.6541, 10.1134, 10.3532]","[3.3176, 3.3968, 3.5843, 3.3231, 3.3732]","[17.62, 17.11, 17.2, 18.03, 17.34]","[129.83, 129.89, 130.01, 129.77, 129.53]","[803996, 803996, 803996, 803996, 803996]",5,[],0.6556228637695313,0.043819427490234375,0.6994422912597656,10.49578,3.399,17.46,129.806,803996
42,"[0.725550651550293, 0.6759305000305176, 0.7494614124298096, 0.7487366199493408, 0.7335011959075928]","[0.046811580657958984, 0.04004263877868652, 0.05373072624206543, 0.0456392765045166, 0.04934096336364746]","[0.772362232208252, 0.7159731388092041, 0.803192138671875, 0.7943758964538574, 0.7828421592712402]","[10.7397, 11.0772, 12.1233, 12.2368, 11.115]","[3.4641, 3.4, 4.0805, 3.4521, 3.4603]","[17.19, 17.53, 17.22, 17.43, 17.5]","[129.67, 129.77, 129.72, 129.67, 129.6]","[803996, 803996, 803996, 803996, 803996]",5,[],0.7266360759735108,0.047113037109375,0.7737491130828857,11.4584,3.5714,17.374,129.686,803996
43,"[0.748403787612915, 0.6925551891326904, 0.733811616897583, 0.7466089725494385, 0.7580342292785645]","[0.0404810905456543, 0.04981493949890137, 0.05167222023010254, 0.051752567291259766, 0.05144834518432617]","[0.7888848781585693, 0.7423701286315918, 0.7854838371276855, 0.7983615398406982, 0.8094825744628906]","[11.253, 11.131, 12.0551, 11.9691, 12.3109]","[3.3351, 3.3746, 3.3729, 3.2246, 3.3512]","[17.45, 17.35, 17.59, 17.07, 17.34]","[129.65, 129.7, 129.78, 129.77, 129.73]","[803996, 803996, 803996, 803996, 803996]",5,[],0.7358827590942383,0.049033832550048825,0.7849165916442871,11.74382,3.33168,17.36,129.726,803996
44,"[0.7492330074310303, 0.7402598857879639, 0.7532603740692139, 0.6687190532684326, 0.744046688079834]","[0.046460628509521484, 0.043009281158447266, 0.04873251914978027, 0.03863716125488281, 0.0467221736907959]","[0.7956936359405518, 0.7832691669464111, 0.8019928932189941, 0.7073562145233154, 0.7907688617706299]","[12.3119, 12.1191, 12.6322, 10.8514, 12.021]","[3.3532, 3.3714, 3.2888, 3.2297, 3.1738]","[17.51, 17.42, 17.82, 17.27, 17.19]","[129.69, 129.91, 129.74, 129.65, 129.84]","[803996, 803996, 803996, 803996, 803996]",5,[],0.7311038017272949,0.04471235275268555,0.7758161544799804,11.987119999999999,3.28338,17.442,129.766,803996
45,"[0.7596666812896729, 0.7522590160369873, 0.75018310546875, 0.7584927082061768, 0.7627396583557129]","[0.04581761360168457, 0.04849839210510254, 0.03749656677246094, 0.040122032165527344, 0.04458737373352051]","[0.8054842948913574, 0.8007574081420898, 0.7876796722412109, 0.7986147403717041, 0.8073270320892334]","[12.2705, 12.3551, 12.08, 12.2534, 12.118]","[3.269, 3.2407, 3.2096, 3.3007, 3.2851]","[17.19, 17.44, 17.12, 17.13, 16.91]","[129.92, 129.84, 129.92, 129.88, 129.9]","[803996, 803996, 803996, 803996, 803996]",5,[],0.75666823387146,0.04330439567565918,0.7999726295471191,12.2154,3.26102,17.158,129.892,803996
46,"[0.7441425323486328, 0.7619938850402832, 0.756352424621582, 0.7584095001220703, 0.7566370964050293]","[0.040207862854003906, 0.03888893127441406, 0.037009239196777344, 0.0444643497467041, 0.03674435615539551]","[0.7843503952026367, 0.8008828163146973, 0.7933616638183594, 0.8028738498687744, 0.7933814525604248]","[12.5283, 12.3427, 12.2393, 12.4232, 12.5364]","[3.3151, 3.268, 3.1749, 3.2521, 3.1433]","[17.87, 17.14, 17.16, 17.4, 17.52]","[129.94, 129.99, 130.03, 130.0, 129.9]","[803996, 803996, 803996, 803996, 803996]",5,[],0.7555070877075195,0.039462947845458986,0.7949700355529785,12.41398,3.23068,17.418,129.972,803996
47,"[0.764122486114502, 0.7654018402099609, 0.7531557083129883, 0.7750506401062012, 0.763944149017334]","[0.03760695457458496, 0.02861618995666504, 0.029536724090576172, 0.027097702026367188, 0.03249859809875488]","[0.8017294406890869, 0.794018030166626, 0.7826924324035645, 0.8021483421325684, 0.7964427471160889]","[12.7065, 12.2457, 12.4451, 12.5031, 12.1162]","[2.1048, 2.1261, 2.1395, 2.0641, 2.4859]","[17.64, 16.96, 17.47, 17.13, 16.79]","[130.01, 129.89, 129.76, 129.79, 129.8]","[803996, 803996, 803996, 803996, 803996]",5,[],0.7643349647521973,0.031071233749389648,0.7954061985015869,12.403319999999999,2.18408,17.198,129.85,803996
48,"[0.7675960063934326, 0.7680528163909912, 0.7626111507415771, 0.7915761470794678, 0.7816445827484131]","[0.025935888290405273, 0.018419981002807617, 0.023852109909057617, 0.016445398330688477, 0.020448923110961914]","[0.7935318946838379, 0.7864727973937988, 0.7864632606506348, 0.8080215454101562, 0.802093505859375]","[12.4899, 12.645, 12.0354, 13.1887, 13.1062]","[1.1658, 1.0645, 1.2125, 1.0972, 1.1915]","[16.98, 17.2, 17.73, 17.31, 17.49]","[129.95, 130.0, 129.88, 129.73, 129.83]","[402588, 402588, 402588, 402588, 402588]",5,[],0.7742961406707763,0.02102046012878418,0.7953166007995606,12.69304,1.1462999999999999,17.342,129.878,402588
49,"[0.7919907569885254, 0.8582961559295654, 0.7866675853729248, 0.7809727191925049, 0.7790524959564209]","[0.023527145385742188, 0.021532297134399414, 0.016294240951538086, 0.016007423400878906, 0.016184091567993164]","[0.8155179023742676, 0.8798284530639648, 0.8029618263244629, 0.7969801425933838, 0.7952365875244141]","[13.0207, 14.3275, 12.9877, 13.1504, 13.1624]","[1.111, 1.0574, 1.0344, 1.0385, 1.0655]","[17.14, 17.38, 17.16, 17.48, 17.54]","[130.03, 129.84, 129.78, 130.0, 130.18]","[402588, 402588, 402588, 402588, 402588]",5,[],0.7993959426879883,0.01870903968811035,0.8181049823760986,13.32974,1.0613599999999999,17.34,129.966,402588
50,"[0.8691048622131348, 0.8209757804870605, 0.800004243850708, 0.8539383411407471, 0.8119792938232422]","[0.008371114730834961, 0.007967948913574219, 0.015295028686523438, 0.008665800094604492, 0.015451669692993164]","[0.8774759769439697, 0.8289437294006348, 0.8152992725372314, 0.8626041412353516, 0.8274309635162354]","[13.5833, 13.6362, 13.3554, 14.4224, 13.5816]","[0.0355, 0.0365, 0.0408, 0.0355, 0.0359]","[17.51, 17.24, 17.4, 17.53, 17.45]","[129.96, 129.92, 129.98, 130.15, 130.1]","[402588, 402588, 402588, 402588, 402588]",5,[],0.8312005043029785,0.011150312423706055,0.8423508167266845,13.71578,0.03684,17.426,130.022,402588
